arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
0.24123,-1.57064,2.01443,0.56890,-0.48478,-0.50741,0.57936,0.09250,0.21992,0.00051,0.01265,-0.00631,0.99990,1714875481
0.24033,-1.57096,2.01532,0.56449,-0.48477,-0.50342,0.57928,0.09229,0.21978,0.00051,0.01244,-0.00586,0.99991,1714875481
0.24001,-1.57124,2.01597,0.56418,-0.48480,-0.50333,0.57917,0.09209,0.21958,0.00037,0.01257,-0.00596,0.99990,1714875481
0.24036,-1.57195,2.01696,0.56393,-0.48478,-0.50330,0.57888,0.09225,0.21942,0.00024,0.01269,-0.00573,0.99990,1714875482
0.24262,-1.57334,2.01846,0.56972,-0.48481,-0.50356,0.57818,0.09299,0.21911,0.00263,0.01337,-0.00583,0.99989,1714875482
0.24799,-1.57660,2.01953,0.58454,-0.48443,-0.51476,0.57682,0.09476,0.21966,0.00379,0.01417,-0.00606,0.99987,1714875482
0.25319,-1.57876,2.01742,0.59774,-0.48276,-0.52956,0.57606,0.09682,0.22126,0.00273,0.01438,-0.00566,0.99988,1714875482
0.26077,-1.58235,2.01154,0.61930,-0.47614,-0.55425,0.57509,0.10014,0.22467,0.00110,0.01523,-0.00435,0.99987,1714875482
0.26356,-1.59068,2.01170,0.61390,-0.46578,-0.59843,0.57290,0.10258,0.22791,-0.02228,0.01503,0.00121,0.99964,1714875483
0.25769,-1.60208,2.01142,0.55241,-0.45510,-0.65783,0.57094,0.10388,0.23551,-0.07777,0.00612,0.01298,0.99687,1714875483
0.25929,-1.60734,2.00620,0.52277,-0.44563,-0.70351,0.56994,0.10749,0.24117,-0.11250,0.00074,0.02141,0.99342,1714875483
0.26432,-1.61430,1.99775,0.48704,-0.43340,-0.75718,0.56830,0.11357,0.24938,-0.15334,-0.00739,0.03248,0.98761,1714875483
0.27039,-1.61572,1.97510,0.44415,-0.42533,-0.80236,0.56874,0.12098,0.26370,-0.19203,-0.02280,0.04242,0.98021,1714875483
0.28270,-1.61482,1.93891,0.39815,-0.41480,-0.85493,0.56925,0.13256,0.28434,-0.23423,-0.04428,0.05373,0.96968,1714875484
