arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
0.03053,-1.24424,2.02861,0.01264,-0.79837,-0.49167,0.63950,0.01682,0.08398,-0.23893,-0.00934,0.00876,0.97095,1714877111
0.03019,-1.24420,2.02877,0.01113,-0.79893,-0.49170,0.63947,0.01681,0.08399,-0.23946,-0.00962,0.00907,0.97082,1714877111
0.02968,-1.24409,2.02926,0.00974,-0.80086,-0.49164,0.63937,0.01667,0.08403,-0.23990,-0.01033,0.00913,0.97070,1714877111
0.03007,-1.24452,2.02938,0.00969,-0.80073,-0.49165,0.63930,0.01693,0.08422,-0.23992,-0.01046,0.00932,0.97069,1714877112
0.03347,-1.24673,2.02927,0.01487,-0.79584,-0.49208,0.63909,0.01839,0.08472,-0.23836,-0.00915,0.00952,0.97109,1714877112
0.03853,-1.25055,2.03011,0.01463,-0.78487,-0.49380,0.63845,0.02165,0.08457,-0.23929,-0.00592,0.01305,0.97084,1714877112
0.04448,-1.25794,2.02983,0.01858,-0.76517,-0.50433,0.63771,0.02491,0.08559,-0.24307,-0.00054,0.01616,0.96987,1714877112
0.05086,-1.26786,2.02868,0.01879,-0.74221,-0.52241,0.63682,0.02892,0.08806,-0.25178,0.00424,0.02082,0.96755,1714877112
0.02498,-1.29007,2.02684,-0.02717,-0.71587,-0.60909,0.63541,0.01800,0.09813,-0.30957,0.00340,0.02361,0.95058,1714877113
-0.01736,-1.31393,2.01563,-0.09533,-0.70564,-0.70940,0.63530,-0.00073,0.11720,-0.38108,-0.00925,0.02020,0.92428,1714877113
-0.04106,-1.33424,2.00419,-0.14315,-0.68302,-0.78491,0.63473,-0.01052,0.13164,-0.43338,-0.01425,0.02039,0.90087,1714877113
-0.06084,-1.35356,1.98971,-0.19178,-0.66237,-0.85535,0.63429,-0.01799,0.14740,-0.48308,-0.02120,0.02065,0.87508,1714877113
-0.08269,-1.37549,1.96885,-0.25438,-0.64231,-0.93849,0.63372,-0.02554,0.16817,-0.54245,-0.03249,0.01989,0.83922,1714877113
-0.09639,-1.39445,1.94486,-0.31104,-0.61892,-1.01425,0.63352,-0.02919,0.18820,-0.59517,-0.04247,0.01967,0.80224,1714877114
-0.10644,-1.41677,1.91138,-0.38314,-0.58771,-1.10369,0.63308,-0.02990,0.21388,-0.65696,-0.05545,0.01962,0.75163,1714877114
-0.10762,-1.43053,1.88050,-0.44058,-0.56349,-1.17246,0.63336,-0.02676,0.23432,-0.70276,-0.06709,0.01967,0.70798,1714877114
-0.10525,-1.44229,1.84545,-0.49908,-0.53885,-1.23964,0.63375,-0.02186,0.25583,-0.74594,-0.07944,0.01832,0.66100,1714877114
-0.09996,-1.45050,1.81825,-0.54787,-0.51759,-1.29397,0.63377,-0.01614,0.27148,-0.77912,-0.08854,0.01805,0.62033,1714877114
-0.06679,-1.46081,1.73717,-0.67367,-0.46695,-1.42738,0.63492,0.00943,0.31230,-0.85224,-0.11807,0.01494,0.50943,1714877115
-0.05445,-1.46266,1.71423,-0.71452,-0.44786,-1.46863,0.63497,0.01788,0.32227,0.87234,0.12473,-0.01457,-0.47250,1714877115
-0.02484,-1.46150,1.67044,-0.78767,-0.42115,-1.54195,0.63520,0.03798,0.34019,0.90338,0.14179,-0.01211,-0.40454,1714877115
0.01013,-1.45782,1.62153,-0.87009,-0.38728,-1.62340,0.63502,0.06022,0.35835,0.93212,0.15752,-0.00717,-0.32601,1714877115
0.03968,-1.45035,1.59091,-0.92540,-0.36583,-1.67681,0.63553,0.07869,0.36641,0.94695,0.16922,-0.00540,-0.27317,1714877116
0.07603,-1.43998,1.55380,-0.99516,-0.34082,-1.74380,0.63566,0.10124,0.37555,0.96131,0.18305,-0.00084,-0.20584,1714877116
0.11829,-1.42590,1.51536,-1.07215,-0.31360,-1.81716,0.63557,0.12706,0.38282,0.97147,0.19751,0.00522,-0.13118,1714877116
0.16765,-1.40552,1.47786,-1.15718,-0.28395,-1.89794,0.63589,0.15710,0.38524,0.97583,0.21272,0.01139,-0.04866,1714877116
0.19750,-1.39154,1.45668,-1.21062,-0.26814,-1.94827,0.63593,0.17561,0.38501,0.97489,0.22209,0.01626,0.00292,1714877116
0.23143,-1.37467,1.43591,-1.26903,-0.24848,-2.00358,0.63607,0.19631,0.38232,0.97086,0.23123,0.02116,0.05934,1714877117
0.26329,-1.35774,1.41804,-1.32715,-0.23068,-2.05795,0.63600,0.21595,0.37820,0.96368,0.23964,0.02669,0.11484,1714877117
0.30031,-1.33562,1.40024,-1.39663,-0.21044,-2.12292,0.63612,0.23910,0.37017,0.95088,0.24921,0.03313,0.18062,1714877117
0.32563,-1.31775,1.39047,-1.44920,-0.19864,-2.17341,0.63649,0.25566,0.36137,0.93786,0.25670,0.03782,0.23041,1714877117
0.33396,-1.31238,1.38840,-1.46956,-0.19162,-2.19033,0.63666,0.26055,0.35797,0.93289,0.25779,0.03899,0.24847,1714877117
0.33397,-1.31222,1.38835,-1.46963,-0.19148,-2.19041,0.63672,0.26055,0.35789,0.93289,0.25774,0.03892,0.24856,1714877118
0.33400,-1.31215,1.38828,-1.46966,-0.19145,-2.19041,0.63674,0.26057,0.35788,0.93288,0.25774,0.03893,0.24857,1714877118
0.33403,-1.31205,1.38819,-1.46969,-0.19142,-2.19053,0.63676,0.26060,0.35787,0.93286,0.25774,0.03894,0.24864,1714877118
0.33405,-1.31202,1.38814,-1.46967,-0.19142,-2.19060,0.63677,0.26062,0.35787,0.93285,0.25775,0.03895,0.24867,1714877118
0.33407,-1.31196,1.38808,-1.46969,-0.19141,-2.19063,0.63678,0.26063,0.35787,0.93285,0.25775,0.03896,0.24869,1714877118
0.33407,-1.31194,1.38807,-1.46971,-0.19144,-2.19064,0.63679,0.26064,0.35786,0.93284,0.25776,0.03896,0.24870,1714877119
0.33407,-1.31190,1.38803,-1.46973,-0.19141,-2.19065,0.63680,0.26064,0.35785,0.93284,0.25775,0.03896,0.24872,1714877119
0.33409,-1.31189,1.38801,-1.46970,-0.19142,-2.19071,0.63680,0.26065,0.35786,0.93283,0.25776,0.03897,0.24873,1714877119
0.33408,-1.31185,1.38800,-1.46971,-0.19142,-2.19077,0.63681,0.26065,0.35784,0.93282,0.25776,0.03897,0.24876,1714877119
0.33409,-1.31185,1.38799,-1.46973,-0.19142,-2.19079,0.63681,0.26066,0.35784,0.93282,0.25776,0.03898,0.24879,1714877119
0.33409,-1.31182,1.38799,-1.46972,-0.19141,-2.19080,0.63682,0.26066,0.35783,0.93282,0.25776,0.03897,0.24879,1714877120
0.33410,-1.31181,1.38795,-1.46972,-0.19141,-2.19086,0.63682,0.26067,0.35784,0.93281,0.25776,0.03899,0.24881,1714877120
0.33410,-1.31177,1.38793,-1.46973,-0.19142,-2.19087,0.63683,0.26067,0.35783,0.93281,0.25777,0.03898,0.24882,1714877120
0.33410,-1.31177,1.38792,-1.46974,-0.19140,-2.19085,0.63684,0.26067,0.35783,0.93281,0.25776,0.03898,0.24882,1714877120
0.33410,-1.31176,1.38792,-1.46974,-0.19140,-2.19088,0.63684,0.26067,0.35782,0.93280,0.25776,0.03898,0.24883,1714877120
0.33409,-1.31176,1.38789,-1.46972,-0.19141,-2.19089,0.63684,0.26067,0.35784,0.93281,0.25776,0.03899,0.24882,1714877121
