arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.16337,-1.49612,1.87994,-0.25279,-0.36063,-0.11481,0.61550,-0.08453,0.24111,-0.17284,0.02303,-0.03398,0.98409,1715138775
-0.16330,-1.49606,1.87994,-0.25276,-0.36062,-0.11480,0.61552,-0.08449,0.24107,-0.17282,0.02306,-0.03395,0.98410,1715138775
-0.16325,-1.49587,1.87992,-0.25277,-0.36065,-0.11477,0.61557,-0.08446,0.24098,-0.17280,0.02312,-0.03390,0.98410,1715138775
-0.16185,-1.49514,1.87986,-0.25182,-0.36015,-0.11477,0.61585,-0.08371,0.24047,-0.17233,0.02355,-0.03335,0.98419,1715138776
-0.15897,-1.49560,1.87783,-0.24458,-0.35135,-0.11490,0.61603,-0.08280,0.24040,-0.16911,0.02630,-0.03374,0.98467,1715138776
-0.14783,-1.50268,1.86814,-0.22497,-0.31519,-0.12670,0.61551,-0.07851,0.24396,-0.16636,0.03493,-0.03385,0.98486,1715138776
-0.14127,-1.50924,1.86167,-0.21765,-0.29668,-0.13694,0.61465,-0.07548,0.24845,-0.16847,0.03726,-0.03311,0.98445,1715138777
-0.13415,-1.51899,1.84595,-0.22623,-0.27776,-0.16745,0.61371,-0.07135,0.26021,-0.18857,0.03425,-0.03028,0.98099,1715138777
-0.12860,-1.52803,1.84626,-0.28115,-0.26676,-0.21893,0.61166,-0.06564,0.26287,-0.23965,0.03639,-0.01942,0.96998,1715138777
-0.11489,-1.53652,1.82002,-0.32137,-0.26153,-0.26631,0.61187,-0.05575,0.28238,-0.28301,0.02131,-0.01094,0.95882,1715138777
-0.10271,-1.54051,1.79730,-0.35287,-0.25557,-0.30315,0.61242,-0.04736,0.29699,-0.31639,0.01013,-0.00464,0.94856,1715138777
-0.08137,-1.54492,1.77983,-0.40622,-0.24367,-0.36013,0.61251,-0.03296,0.30728,-0.36843,0.00220,0.00846,0.92962,1715138778
-0.06570,-1.54713,1.76592,-0.44040,-0.23587,-0.39742,0.61258,-0.02267,0.31511,-0.40162,-0.00470,0.01655,0.91564,1715138778
-0.04122,-1.54928,1.74902,-0.48315,-0.22522,-0.44553,0.61252,-0.00707,0.32410,-0.44295,-0.01409,0.02801,0.89600,1715138778
0.00521,-1.54863,1.72204,-0.55901,-0.21251,-0.52352,0.61246,0.02261,0.33658,-0.51014,-0.03317,0.04847,0.85808,1715138778
0.02596,-1.54748,1.70935,-0.59063,-0.20731,-0.55688,0.61219,0.03573,0.34214,-0.53746,-0.04256,0.05630,0.84033,1715138779
0.05862,-1.54273,1.69685,-0.64039,-0.19713,-0.61040,0.61221,0.05607,0.34429,-0.57943,-0.05300,0.07009,0.81027,1715138779
0.08663,-1.53719,1.68647,-0.68225,-0.18765,-0.65352,0.61223,0.07334,0.34494,-0.61269,-0.06172,0.08134,0.78370,1715138779
0.10918,-1.53131,1.67704,-0.71333,-0.18231,-0.68248,0.61233,0.08745,0.34566,-0.63527,-0.06999,0.08980,0.76385,1715138779
0.13476,-1.52477,1.66955,-0.75583,-0.17207,-0.72903,0.61211,0.10304,0.34391,-0.66801,-0.07776,0.09947,0.73336,1715138779
0.16697,-1.51375,1.66173,-0.80942,-0.16141,-0.78317,0.61217,0.12300,0.33938,-0.70553,-0.08800,0.11200,0.69422,1715138780
0.19122,-1.50303,1.65875,-0.85258,-0.15394,-0.82597,0.61254,0.13826,0.33276,-0.73388,-0.09534,0.12242,0.66132,1715138780
0.20662,-1.49588,1.65763,-0.88016,-0.14774,-0.85410,0.61270,0.14775,0.32771,-0.75158,-0.09947,0.12899,0.63921,1715138780
0.23057,-1.48297,1.65872,-0.92701,-0.13796,-0.90008,0.61310,0.16263,0.31695,-0.77970,-0.10555,0.14031,0.60104,1715138780
0.24384,-1.47367,1.66286,-0.95927,-0.13218,-0.93109,0.61362,0.17102,0.30739,-0.79787,-0.10839,0.14825,0.57418,1715138780
0.26033,-1.46171,1.67045,-1.00261,-0.12053,-0.97457,0.61412,0.18071,0.29327,-0.82174,-0.11031,0.15862,0.53611,1715138780
0.27268,-1.45061,1.68362,-1.04123,-0.11091,-1.01167,0.61440,0.18785,0.27673,-0.84108,-0.11028,0.16985,0.50157,1715138781
0.28207,-1.43712,1.70060,-1.08795,-0.10006,-1.05638,0.61509,0.19297,0.25625,0.86265,0.10917,-0.18233,-0.45898,1715138781
0.28771,-1.42535,1.72030,-1.12955,-0.08257,-1.09752,0.61555,0.19415,0.23494,0.88095,0.10336,-0.19444,-0.41885,1715138781
0.29129,-1.41558,1.73669,-1.16416,-0.06699,-1.13052,0.61571,0.19402,0.21738,0.89456,0.09827,-0.20428,-0.38518,1715138781
0.28955,-1.40761,1.75189,-1.21209,-0.04939,-1.17685,0.61631,0.19005,0.20174,0.91191,0.09393,-0.21085,-0.33933,1715138781
0.28473,-1.39664,1.77555,-1.25446,-0.02531,-1.21866,0.61671,0.18256,0.17921,0.92526,0.08277,-0.22235,-0.29598,1715138782
0.27652,-1.38647,1.80364,-1.29330,-0.00514,-1.25682,0.61594,0.17312,0.15536,0.93488,0.07169,-0.23561,-0.25563,1715138782
0.26252,-1.37964,1.82563,-1.34848,0.02574,-1.31128,0.61623,0.15807,0.13737,0.94745,0.05920,-0.24275,-0.19977,1715138782
0.24901,-1.37488,1.84361,-1.38646,0.04875,-1.34928,0.61607,0.14475,0.12377,0.95391,0.04834,-0.24883,-0.16065,1715138782
0.22967,-1.37110,1.86585,-1.43616,0.07839,-1.39963,0.61538,0.12631,0.10893,0.96000,0.03498,-0.25534,-0.10943,1715138783
0.21298,-1.36853,1.88110,-1.47320,0.10230,-1.43727,0.61495,0.11088,0.09921,0.96278,0.02383,-0.25962,-0.07124,1715138783
0.19526,-1.36842,1.89148,-1.51008,0.12759,-1.47623,0.61512,0.09479,0.09414,0.96478,0.01251,-0.26067,-0.03304,1715138783
