shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.00447,-2.02269,2.18782,0.83085,-0.13930,0.79265,0.45695,-0.01955,0.29399,0.72113,-0.01434,-0.06255,0.68982,1714873141
-0.00033,-2.02280,2.18571,0.84574,-0.13753,0.77418,0.45699,-0.01766,0.29477,0.71995,-0.01258,-0.06136,0.69119,1714873141
0.00744,-2.02440,2.18623,0.83943,-0.13911,0.77206,0.45664,-0.01422,0.29550,0.71710,-0.01072,-0.05791,0.69447,1714873141
0.01779,-2.03251,2.21361,0.66913,-0.19970,0.94303,0.45434,-0.01343,0.29513,0.71657,-0.02968,-0.04519,0.69542,1714873141
0.01190,-2.04038,2.37942,0.21040,-0.49545,1.42338,0.44427,-0.01157,0.26264,0.72072,-0.08234,0.02262,0.68795,1714873142
0.01143,-1.98924,2.47950,0.11670,-0.77105,1.53266,0.43968,-0.00829,0.23477,0.72014,-0.12038,0.07598,0.67907,1714873142
0.01610,-1.92435,2.51376,0.15336,-0.95595,1.50409,0.43965,-0.01476,0.22022,0.71112,-0.16351,0.09054,0.67778,1714873142
0.01247,-1.72510,2.53847,0.11603,-1.34671,1.57746,0.44407,-0.01398,0.18802,0.70386,-0.21730,0.15471,0.65836,1714873142
0.01158,-1.54524,2.50708,0.11048,-1.61119,1.60810,0.45194,-0.01375,0.16500,0.69374,-0.25513,0.19635,0.64427,1714873142
0.01182,-1.46898,2.48689,0.11263,-1.71800,1.61079,0.45460,-0.01380,0.15538,0.68578,-0.27293,0.21249,0.64036,1714873143
0.01181,-1.46936,2.48713,0.11268,-1.71794,1.61081,0.45451,-0.01382,0.15545,0.68578,-0.27298,0.21251,0.64033,1714873143
0.01178,-1.46936,2.48708,0.11268,-1.71792,1.61079,0.45452,-0.01383,0.15547,0.68577,-0.27299,0.21251,0.64034,1714873143
0.01180,-1.46935,2.48698,0.11270,-1.71790,1.61079,0.45454,-0.01382,0.15550,0.68577,-0.27301,0.21253,0.64033,1714873143
0.01184,-1.46934,2.48698,0.11269,-1.71788,1.61078,0.45455,-0.01380,0.15549,0.68578,-0.27299,0.21253,0.64033,1714873143
0.01184,-1.46937,2.48701,0.11268,-1.71792,1.61081,0.45453,-0.01380,0.15550,0.68578,-0.27300,0.21256,0.64031,1714873144
0.01185,-1.46942,2.48702,0.11264,-1.71793,1.61082,0.45452,-0.01379,0.15552,0.68577,-0.27300,0.21259,0.64031,1714873144
0.01203,-1.46955,2.48697,0.11257,-1.71801,1.61078,0.45450,-0.01370,0.15562,0.68575,-0.27300,0.21275,0.64027,1714873144
0.01203,-1.46960,2.48699,0.11256,-1.71801,1.61083,0.45449,-0.01369,0.15563,0.68577,-0.27299,0.21277,0.64026,1714873144
0.01204,-1.46958,2.48696,0.11259,-1.71799,1.61081,0.45450,-0.01369,0.15563,0.68576,-0.27300,0.21276,0.64026,1714873144
0.01203,-1.46960,2.48698,0.11258,-1.71802,1.61079,0.45449,-0.01369,0.15563,0.68575,-0.27301,0.21277,0.64026,1714873145
0.01203,-1.46960,2.48697,0.11256,-1.71802,1.61080,0.45450,-0.01369,0.15564,0.68575,-0.27301,0.21278,0.64026,1714873145
0.01204,-1.46960,2.48696,0.11260,-1.71799,1.61080,0.45450,-0.01370,0.15564,0.68576,-0.27302,0.21276,0.64026,1714873145
0.01202,-1.46960,2.48697,0.11259,-1.71802,1.61081,0.45449,-0.01370,0.15564,0.68575,-0.27303,0.21277,0.64025,1714873145
0.01203,-1.46960,2.48697,0.11258,-1.71800,1.61084,0.45450,-0.01369,0.15563,0.68577,-0.27300,0.21277,0.64025,1714873145
0.01203,-1.46960,2.48695,0.11258,-1.71801,1.61085,0.45450,-0.01369,0.15564,0.68577,-0.27301,0.21278,0.64024,1714873146
0.01203,-1.46960,2.48693,0.11258,-1.71799,1.61082,0.45450,-0.01369,0.15565,0.68576,-0.27302,0.21278,0.64025,1714873146
0.01205,-1.46960,2.48696,0.11257,-1.71798,1.61081,0.45450,-0.01369,0.15564,0.68576,-0.27300,0.21278,0.64026,1714873146
0.01204,-1.46961,2.48695,0.11257,-1.71799,1.61081,0.45450,-0.01369,0.15565,0.68576,-0.27301,0.21278,0.64025,1714873146
0.01206,-1.46959,2.48694,0.11256,-1.71802,1.61083,0.45450,-0.01368,0.15564,0.68576,-0.27300,0.21280,0.64025,1714873146
0.01205,-1.46960,2.48693,0.11257,-1.71802,1.61083,0.45450,-0.01369,0.15565,0.68576,-0.27302,0.21280,0.64024,1714873147
0.01204,-1.46960,2.48693,0.11257,-1.71801,1.61079,0.45450,-0.01369,0.15565,0.68575,-0.27302,0.21279,0.64026,1714873147
0.01208,-1.46960,2.48693,0.11258,-1.71800,1.61080,0.45450,-0.01367,0.15565,0.68576,-0.27300,0.21279,0.64025,1714873147
0.01208,-1.46960,2.48694,0.11258,-1.71799,1.61083,0.45450,-0.01367,0.15564,0.68577,-0.27299,0.21279,0.64024,1714873147
0.01206,-1.46959,2.48692,0.11256,-1.71800,1.61078,0.45451,-0.01368,0.15565,0.68575,-0.27301,0.21279,0.64026,1714873148
0.01206,-1.46960,2.48693,0.11256,-1.71799,1.61085,0.45451,-0.01368,0.15565,0.68577,-0.27300,0.21280,0.64024,1714873148
0.01206,-1.46960,2.48693,0.11258,-1.71799,1.61082,0.45450,-0.01368,0.15565,0.68576,-0.27301,0.21279,0.64025,1714873148
0.01206,-1.46960,2.48692,0.11258,-1.71800,1.61081,0.45451,-0.01368,0.15565,0.68576,-0.27301,0.21279,0.64025,1714873148
0.01207,-1.46960,2.48695,0.11256,-1.71802,1.61082,0.45450,-0.01367,0.15564,0.68576,-0.27300,0.21280,0.64025,1714873148
0.01206,-1.46960,2.48693,0.11257,-1.71797,1.61083,0.45451,-0.01368,0.15564,0.68577,-0.27300,0.21278,0.64025,1714873149
0.01205,-1.46960,2.48693,0.11255,-1.71798,1.61079,0.45451,-0.01368,0.15565,0.68575,-0.27300,0.21279,0.64026,1714873149
0.01204,-1.46959,2.48693,0.11256,-1.71800,1.61084,0.45451,-0.01369,0.15565,0.68577,-0.27301,0.21279,0.64024,1714873149
0.01205,-1.46960,2.48694,0.11257,-1.71800,1.61085,0.45450,-0.01369,0.15565,0.68577,-0.27300,0.21279,0.64024,1714873149
