arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp,Euler_y,Euler_z,Euler_x,Euler_x_no_wrap,Timestep,Euler Y,Euler Z,Euler X
0.02083,-1.27458,2.1327,0.02459,-0.8486,-0.09007,0.61149,0.00942,0.05844,-0.03699,0.00479,0.00137,0.9993,1715140909,0.009472189,0.003092471,-0.073983391,-0.073983391,0,0.009472189,0.003092471,-0.073983391
-0.00463,-1.28596,2.13284,-0.01325,-0.83862,-0.15611,0.61079,-0.00089,0.06335,-0.08236,0.00392,0.00295,0.99659,1715140909,0.007327571,0.006525637,-0.164884965,-0.164884965,0.195348837,0.007327571,0.006525637,-0.164884965
-0.07371,-1.29831,2.12539,-0.09072,-0.8381,-0.27972,0.6107,-0.03241,0.07425,-0.16973,-0.00387,-0.00387,0.98547,1715140909,-0.006314189,-0.008941462,-0.341090139,-0.341090139,0.390697674,-0.006314189,-0.008941462,-0.341090139
-0.10448,-1.31143,2.11871,-0.13001,-0.82372,-0.35757,0.61015,-0.04612,0.08257,-0.22183,-0.00491,-0.00584,0.97506,1715140909,-0.006984753,-0.013567369,-0.447345526,-0.447345526,0.586046512,-0.006984753,-0.013567369,-0.447345526
-0.14691,-1.33048,2.10625,-0.18962,-0.81086,-0.46058,0.60916,-0.0644,0.09746,-0.29345,-0.01089,-0.00847,0.95588,1715140910,-0.015852575,-0.022585647,-0.595543854,-0.595543854,0.781395349,-0.015852575,-0.022585647,-0.595543854
-0.17957,-1.34489,2.09231,-0.24,-0.80072,-0.53911,0.60859,-0.07815,0.11081,-0.34969,-0.0165,-0.01041,0.93666,1715140910,-0.023642931,-0.031046153,-0.714257055,-0.714257055,0.976744186,-0.023642931,-0.031046153,-0.714257055
-0.21596,-1.36798,2.06733,-0.30824,-0.78002,-0.64683,0.60813,-0.09271,0.13284,-0.42646,-0.02485,-0.01206,0.90408,1715140910,-0.03468588,-0.043015091,-0.880768472,-0.880768472,1.172093023,-0.03468588,-0.043015091,-0.880768472
-0.23677,-1.38276,2.04921,-0.35278,-0.7669,-0.71376,0.6077,-0.10067,0.14802,-0.47443,-0.03076,-0.01325,0.87966,1715140910,-0.041613361,-0.052521685,-0.988140787,-0.988140787,1.36744186,-0.041613361,-0.052521685,-0.988140787
-0.25315,-1.39758,2.02739,-0.40031,-0.75065,-0.7808,0.60778,-0.10604,0.16453,-0.52293,-0.03718,-0.01305,0.85146,1715140910,-0.049780013,-0.061146731,-1.100005222,-1.100005222,1.562790698,-0.049780013,-0.061146731,-1.100005222
-0.26876,-1.41566,1.99946,-0.45527,-0.73385,-0.85847,0.60765,-0.11036,0.18601,-0.57804,-0.04687,-0.01402,0.81454,1715140911,-0.060362668,-0.077101615,-1.232020181,-1.232020181,1.758139535,-0.060362668,-0.077101615,-1.232020181
-0.27908,-1.42943,1.97569,-0.50245,-0.71781,-0.92109,0.60747,-0.11254,0.2029,-0.62208,-0.05361,-0.01408,0.78099,1715140911,-0.066530966,-0.088808684,-1.342282634,-1.342282634,1.953488372,-0.066530966,-0.088808684,-1.342282634
-0.28307,-1.4546,1.92415,-0.59126,-0.68537,-1.03488,0.60815,-0.10816,0.23761,-0.69949,-0.07024,-0.01318,0.71106,1715140911,-0.082106738,-0.11727655,-1.549568923,-1.549568923,2.148837209,-0.082106738,-0.11727655,-1.549568923
-0.28282,-1.46378,1.89729,-0.63194,-0.67216,-1.08383,0.60868,-0.10515,0.25419,-0.73172,-0.07875,-0.01411,0.67689,1715140911,-0.086857089,-0.134755895,-1.642742044,-1.642742044,2.344186047,-0.086857089,-0.134755895,-1.642742044
-0.27698,-1.47409,1.87587,-0.67725,-0.65678,-1.13757,0.60865,-0.09844,0.26766,-0.76477,-0.08664,-0.01151,0.63834,1715140911,-0.094171129,-0.147752398,-1.743550091,-1.743550091,2.539534884,-0.094171129,-0.147752398,-1.743550091
-0.2644,-1.48855,1.82836,-0.75212,-0.63101,-1.22329,0.60915,-0.08645,0.29526,-0.81498,-0.10234,-0.01248,0.57024,1715140912,-0.098152163,-0.182048043,-1.911579847,-1.911579847,2.734883721,-0.098152163,-0.182048043,-1.911579847
-0.24857,-1.49694,1.79944,-0.80577,-0.61192,-1.28063,0.60951,-0.07423,0.31074,-0.84571,-0.11312,-0.01062,0.52141,1715140912,-0.102292575,-0.203815817,-2.026144735,-2.026144735,2.930232558,-0.102292575,-0.203815817,-2.026144735
-0.22527,-1.5048,1.76552,-0.86777,-0.58778,-1.34416,0.61002,-0.05794,0.32756,0.87687,0.12558,0.00875,-0.46396,1715140912,-0.104116223,-0.230385055,-2.156209386,-2.156209386,3.125581395,-0.104116223,-0.230385055,-2.156209386
-0.19324,-1.51161,1.72121,-0.948,-0.56074,-1.42574,0.6102,-0.03614,0.34818,0.91095,0.14251,0.00928,-0.387,1715140912,-0.097061794,-0.270095274,-2.324938881,-2.324938881,3.320930233,-0.097061794,-0.270095274,-2.324938881
-0.16767,-1.5136,1.69616,-0.99895,-0.54239,-1.47657,0.61056,-0.01991,0.35802,0.92859,0.15327,0.00843,-0.33786,1715140912,-0.091999725,-0.294591277,-2.430028069,-2.430028069,3.51627907,-0.091999725,-0.294591277,-2.430028069
-0.12941,-1.51505,1.66427,-1.06888,-0.51801,-1.54508,0.61054,0.00376,0.36955,0.94798,0.16847,0.00815,-0.26996,1715140913,-0.079893807,-0.329758956,-2.573432109,-2.573432109,3.711627907,-0.079893807,-0.329758956,-2.573432109
-0.09804,-1.5149,1.64134,-1.12499,-0.49757,-1.59882,0.61032,0.02243,0.37656,0.95984,0.17936,0.00834,-0.21556,1715140913,-0.065448115,-0.355340769,-2.688008912,-2.688008912,3.906976744,-0.065448115,-0.355340769,-2.688008912
-0.05891,-1.51205,1.61809,-1.19269,-0.47763,-1.66252,0.61,0.04585,0.38147,0.96937,0.19392,0.00846,-0.15047,1715140913,-0.045344841,-0.388183773,-2.824686807,-2.824686807,4.102325581,-0.045344841,-0.388183773,-2.824686807
-0.01276,-1.5058,1.59516,-1.26845,-0.44583,-1.73328,0.61045,0.07123,0.38301,0.97551,0.20565,0.00791,-0.07764,1715140913,-0.018025891,-0.414196642,-2.978961675,-2.978961675,4.297674419,-0.018025891,-0.414196642,-2.978961675
0.02334,-1.4995,1.58006,-1.32766,-0.42399,-1.78937,0.6105,0.09118,0.38229,0.97624,0.21559,0.00851,-0.02035,1715140913,0.008645754,-0.434853184,-3.101818144,-3.101818144,4.493023256,0.008645754,-0.434853184,-3.101818144
0.05655,-1.49084,1.56782,-1.38327,-0.40346,-1.83989,0.61119,0.10927,0.37908,0.97398,0.22418,0.00856,0.03218,1715140914,0.034570107,-0.451306552,3.067600532,-3.215584776,4.688372093,0.034570107,-0.451306552,-3.215584776
0.11081,-1.47262,1.55,-1.48974,-0.37507,-1.93514,0.6122,0.13967,0.3697,0.96164,0.24069,0.01081,0.13116,1715140914,0.094667978,-0.478082166,2.847394677,-3.43579063,4.88372093,0.094667978,-0.478082166,-3.43579063
0.13787,-1.46193,1.54476,-1.54032,-0.35949,-1.97929,0.61299,0.15445,0.36232,0.95232,0.24818,0.01111,0.17713,1715140914,0.123803817,-0.487881154,2.742947328,-3.540237979,5.079069767,0.123803817,-0.487881154,-3.540237979
0.16843,-1.44842,1.54205,-1.60858,-0.34283,-2.03919,0.61377,0.17136,0.35068,0.93626,0.25767,0.01186,0.2385,1715140914,0.165853694,-0.497050736,2.600549264,-3.682636043,5.274418605,0.165853694,-0.497050736,-3.682636043
0.19641,-1.43114,1.54069,-1.67925,-0.3324,-2.09829,0.61507,0.1878,0.3359,0.91525,0.26949,0.01247,0.29923,1715140915,0.21222419,-0.507321568,2.454413681,-3.828771626,5.469767442,0.21222419,-0.507321568,-3.828771626
0.21361,-1.41771,1.54219,-1.729,-0.33024,-2.1384,0.61593,0.19866,0.32321,0.89775,0.2797,0.01231,0.3401,1715140915,0.246702007,-0.516482803,2.351860873,-3.931324434,5.665116279,0.246702007,-0.516482803,-3.931324434
0.23895,-1.39541,1.55121,-1.82058,-0.32955,-2.21281,0.6166,0.21474,0.29761,0.86039,0.29818,0.01193,0.41314,1715140915,0.314001814,-0.52734407,2.16084552,-4.122339787,5.860465116,0.314001814,-0.52734407,-4.122339787
0.24638,-1.38557,1.5563,-1.85895,-0.3295,-2.24292,0.61728,0.21938,0.28577,0.84329,0.30519,0.01101,0.44226,1715140915,0.340831919,-0.529372431,2.082349297,-4.20083601,6.055813953,0.340831919,-0.529372431,-4.20083601
0.2558,-1.36933,1.56966,-1.93013,-0.33163,-2.29852,0.61794,0.22509,0.26275,0.80896,0.31824,0.00877,0.4942,1715140915,0.391077841,-0.530792324,1.93721984,-4.345965467,6.251162791,0.391077841,-0.530792324,-4.345965467
0.26103,-1.35838,1.58111,-1.98345,-0.32936,-2.33943,0.61843,0.22723,0.24574,0.78173,0.32591,0.00704,0.53163,1715140915,0.426201195,-0.525981791,1.830763324,-4.452421983,6.446511628,0.426201195,-0.525981791,-4.452421983
0.26121,-1.3429,1.59911,-2.06578,-0.33159,-2.39714,0.61924,0.22582,0.22008,0.73815,0.33777,0.00359,0.58398,1715140916,0.477955062,-0.517210136,1.674244578,-4.608940729,6.641860465,0.477955062,-0.517210136,-4.608940729
0.2564,-1.33048,1.6181,-2.14438,-0.33157,-2.45169,0.61995,0.22029,0.1965,0.69412,0.34696,0.00005,0.63072,1715140916,0.523003433,-0.502484892,1.529265485,-4.753919822,6.837209302,0.523003433,-0.502484892,-4.753919822
0.25176,-1.3207,1.62981,-2.19858,-0.33162,-2.4925,0.62071,0.21543,0.18042,0.66099,0.35332,-0.00151,0.66201,1715140916,0.555576379,-0.488248945,1.427429511,-4.855755796,7.03255814,0.555576379,-0.488248945,-4.855755796
0.23645,-1.30661,1.64629,-2.28505,-0.34601,-2.54762,0.62108,0.20384,0.15608,0.60878,0.36717,-0.00533,0.70324,1715140916,0.609535373,-0.471863823,1.27608992,-5.007095387,7.227906977,0.609535373,-0.471863823,-5.007095387
0.21635,-1.29367,1.66668,-2.38574,-0.35707,-2.6139,0.62085,0.18713,0.13023,0.54473,0.38058,-0.00875,0.74723,1715140916,0.667049163,-0.441949781,1.104498888,-5.178686419,7.423255814,0.667049163,-0.441949781,-5.178686419
0.20291,-1.28865,1.67503,-2.44209,-0.36004,-2.64796,0.6214,0.17578,0.11947,0.50964,0.38464,-0.01017,0.76955,1715140917,0.69058156,-0.419946909,1.016871469,-5.266313838,7.618604651,0.69058156,-0.419946909,-5.266313838
0.1783,-1.2787,1.68604,-2.5485,-0.3751,-2.70808,0.62133,0.1552,0.10092,0.44197,0.39605,-0.01142,0.80478,1715140917,0.740772004,-0.377360204,0.856403806,-5.426781501,7.813953488,0.740772004,-0.377360204,-5.426781501
0.16385,-1.27213,1.69105,-2.61405,-0.38476,-2.74314,0.62115,0.14258,0.09041,0.39972,0.4033,-0.01178,0.82307,1715140917,0.770379529,-0.348834011,0.761554136,-5.521631171,8.009302326,0.770379529,-0.348834011,-5.521631171
0.16402,-1.27227,1.69089,-2.61515,-0.38485,-2.74546,0.62113,0.14262,0.09053,0.39824,0.40328,-0.01115,0.8238,1715140917,0.77117474,-0.346464995,0.758771035,-5.524414272,8.204651163,0.77117474,-0.346464995,-5.524414272
0.16399,-1.27222,1.69068,-2.61515,-0.38574,-2.74683,0.62105,0.14267,0.09051,0.39763,0.40363,-0.01083,0.82393,1715140917,0.772303534,-0.345678922,0.75754547,-5.525639837,8.4,0.772303534,-0.345678922,-5.525639837
