shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp,Timestep,Euler Y,Euler Z,Euler X,Euler X no wrap
-0.14783,-1.50268,1.86814,-0.22497,-0.31519,-0.1267,0.61551,-0.07851,0.24396,-0.16636,0.03493,-0.03385,0.98486,1715138776,0,0.080273424,-0.055081467,-0.336888109,-0.336888109
-0.14127,-1.50924,1.86167,-0.21765,-0.29668,-0.13694,0.61465,-0.07548,0.24845,-0.16847,0.03726,-0.03311,0.98445,1715138777,0.201818182,0.084735261,-0.052659781,-0.34121146,-0.34121146
-0.13415,-1.51899,1.84595,-0.22623,-0.27776,-0.16745,0.61371,-0.07135,0.26021,-0.18857,0.03425,-0.03028,0.98099,1715138777,0.403636364,0.078784988,-0.046508941,-0.38164889,-0.38164889
-0.1286,-1.52803,1.84626,-0.28115,-0.26676,-0.21893,0.61166,-0.06564,0.26287,-0.23965,0.03639,-0.01942,0.96998,1715138777,0.605454545,0.080005257,-0.020233784,-0.485242356,-0.485242356
-0.11489,-1.53652,1.82002,-0.32137,-0.26153,-0.26631,0.61187,-0.05575,0.28238,-0.28301,0.02131,-0.01094,0.95882,1715138777,0.807272727,0.047076224,-0.008917176,-0.574239998,-0.574239998
-0.10271,-1.54051,1.7973,-0.35287,-0.25557,-0.30315,0.61242,-0.04736,0.29699,-0.31639,0.01013,-0.00464,0.94856,1715138777,1.009090909,0.022155959,-0.002392595,-0.643913438,-0.643913438
-0.08137,-1.54492,1.77983,-0.40622,-0.24367,-0.36013,0.61251,-0.03296,0.30728,-0.36843,0.0022,0.00846,0.92962,1715138778,1.210909091,-0.00214381,0.017350952,-0.754684067,-0.754684067
-0.0657,-1.54713,1.76592,-0.4404,-0.23587,-0.39742,0.61258,-0.02267,0.31511,-0.40162,-0.0047,0.01655,0.91564,1715138778,1.412727273,-0.021910296,0.026535803,-0.826994606,-0.826994606
-0.04122,-1.54928,1.74902,-0.48315,-0.22522,-0.44553,0.61252,-0.00707,0.3241,-0.44295,-0.01409,0.02801,0.896,1715138778,1.614545455,-0.050119767,0.03772039,-0.919202625,-0.919202625
0.00521,-1.54863,1.72204,-0.55901,-0.21251,-0.52352,0.61246,0.02261,0.33658,-0.51014,-0.03317,0.04847,0.85808,1715138778,1.816363636,-0.106710799,0.04935994,-1.075387492,-1.075387492
