arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.08789,-1.33411,2.14574,0.19722,-0.79858,0.46605,0.60214,0.02750,0.07726,1702007373.36664
0.08789,-1.33410,2.14574,0.19721,-0.79857,0.46605,0.60214,0.02751,0.07725,1702007373.46864
0.08790,-1.33410,2.14574,0.19722,-0.79857,0.46608,0.60214,0.02751,0.07725,1702007373.58264
0.08789,-1.33411,2.14574,0.19722,-0.79860,0.46608,0.60214,0.02750,0.07726,1702007373.66764
0.08808,-1.33418,2.14566,0.19729,-0.79855,0.46606,0.60215,0.02761,0.07733,1702007373.84764
0.08859,-1.33438,2.14542,0.19950,-0.79822,0.46620,0.60217,0.02763,0.07748,1702007374.00664
0.08892,-1.33478,2.14495,0.20158,-0.79692,0.46677,0.60222,0.02758,0.07768,1702007374.19264
0.08871,-1.33505,2.14451,0.20226,-0.79604,0.46791,0.60231,0.02740,0.07789,1702007374.36664
0.08728,-1.33491,2.14416,0.20290,-0.79605,0.46830,0.60244,0.02646,0.07798,1702007374.54364
0.07452,-1.32512,2.14410,0.18388,-0.82055,0.46171,0.60374,0.02081,0.07717,1702007374.74164
0.03092,-1.29183,2.15283,0.12615,-0.86998,0.39867,0.60480,0.00164,0.06281,1702007374.92764
-0.00692,-1.26803,2.15757,0.06752,-0.90912,0.34945,0.60515,-0.01305,0.05402,1702007375.13165
-0.04221,-1.25113,2.15904,0.02278,-0.92981,0.30918,0.60520,-0.02775,0.04717,1702007375.31765
-0.09224,-1.22862,2.15754,-0.04282,-0.95907,0.25026,0.60514,-0.04796,0.03977,1702007375.53065
-0.13852,-1.21358,2.15356,-0.10148,-0.97647,0.19915,0.60456,-0.06681,0.03546,1702007375.72865
-0.17824,-1.20315,2.14741,-0.15224,-0.98595,0.15585,0.60402,-0.08299,0.03327,1702007375.91465
-0.22442,-1.19394,2.13757,-0.21182,-0.99099,0.10425,0.60320,-0.10196,0.03232,1702007376.10665
-0.26693,-1.18925,2.12607,-0.26731,-0.99087,0.05541,0.60218,-0.11966,0.03370,1702007376.28665
-0.30057,-1.18642,2.11507,-0.31347,-0.99057,0.01864,0.60128,-0.13356,0.03594,1702007376.47865
-0.34569,-1.18723,2.09709,-0.37484,-0.97674,-0.03576,0.59990,-0.15328,0.04051,1702007376.68865
-0.39132,-1.19220,2.07120,-0.44306,-0.95252,-0.09797,0.59915,-0.17395,0.04902,1702007376.88365
-0.40949,-1.19651,2.06070,-0.47706,-0.94092,-0.11836,0.59844,-0.18142,0.05320,1702007377.08266
-0.44223,-1.20779,2.03682,-0.52619,-0.91412,-0.17302,0.59739,-0.19790,0.06483,1702007377.28066
-0.46907,-1.22039,2.01257,-0.57827,-0.88510,-0.22187,0.59661,-0.21101,0.07693,1702007377.48166
-0.48113,-1.23045,1.99926,-0.60631,-0.86427,-0.24968,0.59613,-0.21715,0.08472,1702007377.63466
-0.49803,-1.24610,1.97762,-0.64809,-0.83326,-0.29320,0.59543,-0.22614,0.09780,1702007377.82966
-0.51054,-1.26306,1.95512,-0.68851,-0.80077,-0.33565,0.59513,-0.23315,0.11218,1702007378.02166
-0.51708,-1.28071,1.93665,-0.72182,-0.76959,-0.37484,0.59484,-0.23713,0.12575,1702007378.20466
-0.51954,-1.29932,1.91933,-0.75343,-0.73645,-0.41617,0.59470,-0.23910,0.13932,1702007378.38766
-0.52106,-1.31826,1.89723,-0.78709,-0.70216,-0.45814,0.59498,-0.24103,0.15563,1702007378.58266
-0.51607,-1.34021,1.87756,-0.81630,-0.66197,-0.50602,0.59534,-0.23993,0.17226,1702007378.78666
-0.50401,-1.36329,1.85864,-0.84033,-0.61973,-0.55903,0.59639,-0.23533,0.18963,1702007378.98467
-0.49711,-1.37748,1.84468,-0.85813,-0.59437,-0.59211,0.59684,-0.23266,0.20169,1702007379.14067
-0.48379,-1.39436,1.83369,-0.87087,-0.55913,-0.63364,0.59742,-0.22748,0.21291,1702007379.31767
-0.45912,-1.41557,1.82136,-0.87360,-0.49984,-0.69998,0.59882,-0.21918,0.22523,1702007379.48567
-0.43703,-1.43397,1.80568,-0.87927,-0.45848,-0.76386,0.60021,-0.21019,0.24022,1702007379.68367
-0.41999,-1.44107,1.80176,-0.86566,-0.40508,-0.80404,0.60110,-0.20757,0.24066,1702007379.82767
-0.40715,-1.44496,1.79985,-0.84769,-0.37046,-0.82880,0.60191,-0.20520,0.24048,1702007379.92967
-0.40199,-1.44732,1.79751,-0.84176,-0.36161,-0.84160,0.60233,-0.20345,0.24245,1702007380.02867
-0.39701,-1.45333,1.79058,-0.85129,-0.36027,-0.85565,0.60252,-0.19984,0.24978,1702007380.13067
-0.39271,-1.45949,1.78372,-0.86449,-0.36931,-0.86858,0.60276,-0.19500,0.25839,1702007380.22667
-0.39184,-1.46107,1.77987,-0.87053,-0.37154,-0.87451,0.60290,-0.19382,0.26170,1702007380.31667
-0.39172,-1.46106,1.78020,-0.87035,-0.37021,-0.87501,0.60287,-0.19394,0.26133,1702007380.42767
-0.39160,-1.46107,1.78019,-0.87031,-0.36924,-0.87503,0.60286,-0.19400,0.26121,1702007380.52967
-0.39136,-1.46109,1.78026,-0.87026,-0.36935,-0.87509,0.60290,-0.19384,0.26120,1702007380.62867
-0.39120,-1.46111,1.78021,-0.87028,-0.36914,-0.87509,0.60292,-0.19377,0.26122,1702007380.72767
-0.39117,-1.46113,1.78025,-0.87026,-0.36937,-0.87510,0.60293,-0.19372,0.26124,1702007380.82967
-0.39106,-1.46116,1.78026,-0.87024,-0.36942,-0.87510,0.60294,-0.19365,0.26125,1702007381.03068
-0.39098,-1.46120,1.78024,-0.87025,-0.36930,-0.87514,0.60295,-0.19361,0.26127,1702007381.13080
-0.39094,-1.46119,1.78036,-0.87024,-0.37050,-0.87511,0.60298,-0.19342,0.26136,1702007381.22980
-0.39085,-1.46117,1.78020,-0.87022,-0.37019,-0.87515,0.60301,-0.19341,0.26140,1702007381.43080
-0.39075,-1.46118,1.78018,-0.87020,-0.36984,-0.87513,0.60301,-0.19340,0.26137,1702007381.52980
-0.39066,-1.46117,1.78010,-0.87021,-0.37052,-0.87515,0.60306,-0.19326,0.26150,1702007381.82980
-0.39063,-1.46115,1.78026,-0.87021,-0.37131,-0.87517,0.60308,-0.19312,0.26150,1702007381.93180
-0.39064,-1.46112,1.78027,-0.87018,-0.37192,-0.87516,0.60310,-0.19304,0.26156,1702007382.03080
-0.39060,-1.46114,1.78017,-0.87022,-0.37152,-0.87519,0.60310,-0.19308,0.26158,1702007382.12980
-0.39052,-1.46113,1.78015,-0.87019,-0.37152,-0.87520,0.60312,-0.19304,0.26158,1702007382.23180
-0.39046,-1.46111,1.78012,-0.87021,-0.37214,-0.87522,0.60315,-0.19291,0.26167,1702007382.32480
-0.39039,-1.46113,1.78000,-0.87019,-0.37191,-0.87522,0.60317,-0.19291,0.26173,1702007382.42980
-0.39033,-1.46111,1.77998,-0.87021,-0.37207,-0.87521,0.60319,-0.19284,0.26174,1702007382.52880
-0.39031,-1.46112,1.77992,-0.87019,-0.37208,-0.87522,0.60319,-0.19284,0.26179,1702007382.63380
-0.39034,-1.46112,1.77998,-0.87017,-0.37254,-0.87522,0.60320,-0.19279,0.26182,1702007382.72980
-0.39024,-1.46113,1.77992,-0.87016,-0.37217,-0.87523,0.60321,-0.19278,0.26181,1702007382.83180
-0.39024,-1.46111,1.77989,-0.87018,-0.37246,-0.87519,0.60322,-0.19274,0.26186,1702007382.93080
-0.39019,-1.46113,1.77979,-0.87018,-0.37173,-0.87523,0.60322,-0.19281,0.26182,1702007383.13181
-0.39016,-1.46113,1.77974,-0.87020,-0.37147,-0.87522,0.60322,-0.19284,0.26182,1702007383.23081
-0.39020,-1.46111,1.77982,-0.87019,-0.37280,-0.87525,0.60325,-0.19267,0.26194,1702007383.43181
-0.39019,-1.46112,1.77977,-0.87018,-0.37266,-0.87527,0.60324,-0.19268,0.26196,1702007383.53081
-0.39015,-1.46113,1.77972,-0.87017,-0.37244,-0.87526,0.60325,-0.19269,0.26196,1702007383.62981
-0.39011,-1.46115,1.77955,-0.87021,-0.37246,-0.87526,0.60326,-0.19267,0.26208,1702007383.73181
-0.39013,-1.46114,1.77951,-0.87024,-0.37259,-0.87527,0.60326,-0.19266,0.26211,1702007383.83081
-0.39012,-1.46113,1.77952,-0.87022,-0.37298,-0.87529,0.60328,-0.19260,0.26215,1702007383.92981
-0.39009,-1.46113,1.77949,-0.87019,-0.37270,-0.87530,0.60328,-0.19263,0.26213,1702007384.02881
-0.39007,-1.46113,1.77944,-0.87021,-0.37285,-0.87530,0.60329,-0.19259,0.26218,1702007384.13081
-0.39009,-1.46114,1.77936,-0.87024,-0.37271,-0.87527,0.60329,-0.19263,0.26221,1702007384.22981
-0.39007,-1.46114,1.77931,-0.87021,-0.37217,-0.87529,0.60328,-0.19270,0.26218,1702007384.31981
-0.39004,-1.46114,1.77924,-0.87021,-0.37250,-0.87529,0.60330,-0.19263,0.26226,1702007384.42781
-0.39001,-1.46115,1.77918,-0.87021,-0.37177,-0.87531,0.60329,-0.19271,0.26221,1702007384.53281
-0.39002,-1.46111,1.77925,-0.87021,-0.37311,-0.87526,0.60333,-0.19253,0.26232,1702007384.73081
-0.39002,-1.46113,1.77920,-0.87021,-0.37250,-0.87528,0.60331,-0.19262,0.26228,1702007384.82981
-0.38998,-1.46109,1.77914,-0.87019,-0.37280,-0.87528,0.60334,-0.19256,0.26233,1702007385.03382
-0.38996,-1.46110,1.77912,-0.87024,-0.37283,-0.87531,0.60334,-0.19254,0.26235,1702007385.13282
-0.38996,-1.46109,1.77910,-0.87023,-0.37295,-0.87530,0.60335,-0.19253,0.26237,1702007385.23182
-0.38992,-1.46106,1.77901,-0.87020,-0.37256,-0.87528,0.60336,-0.19256,0.26236,1702007385.31882
-0.38991,-1.46103,1.77897,-0.87022,-0.37276,-0.87530,0.60338,-0.19254,0.26238,1702007385.42982
-0.38987,-1.46103,1.77885,-0.87021,-0.37240,-0.87530,0.60338,-0.19256,0.26241,1702007385.53182
-0.38985,-1.46096,1.77891,-0.87021,-0.37324,-0.87527,0.60342,-0.19244,0.26245,1702007385.63082
-0.38986,-1.46095,1.77890,-0.87021,-0.37304,-0.87530,0.60342,-0.19247,0.26242,1702007385.72982
-0.38982,-1.46097,1.77886,-0.87021,-0.37272,-0.87529,0.60342,-0.19250,0.26241,1702007385.83182
-0.38983,-1.46096,1.77887,-0.87023,-0.37304,-0.87529,0.60342,-0.19246,0.26244,1702007385.93082
-0.38987,-1.46097,1.77884,-0.87021,-0.37285,-0.87529,0.60341,-0.19250,0.26244,1702007386.03582
-0.38987,-1.46097,1.77884,-0.87023,-0.37303,-0.87528,0.60342,-0.19248,0.26246,1702007386.12882
-0.38987,-1.46095,1.77883,-0.87020,-0.37313,-0.87531,0.60342,-0.19247,0.26247,1702007386.23082
-0.38986,-1.46095,1.77881,-0.87018,-0.37315,-0.87528,0.60343,-0.19246,0.26248,1702007386.31782
-0.38982,-1.46095,1.77874,-0.87021,-0.37309,-0.87529,0.60344,-0.19245,0.26251,1702007386.42882
-0.38985,-1.46092,1.77867,-0.87019,-0.37303,-0.87529,0.60344,-0.19248,0.26253,1702007386.53082
-0.38985,-1.46092,1.77867,-0.87020,-0.37285,-0.87527,0.60344,-0.19251,0.26251,1702007386.62982
