arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
-0.0112698,-0.779489,1.76782,0.0199175,-1.06778,-0.00350189,0.716519,-0.0109693,-0.0490144,1.70174e+09
-0.0112846,-0.779511,1.76782,0.0199175,-1.06774,-0.00352025,0.71652,-0.0109799,-0.0490057,1.70174e+09
-0.0112772,-0.779519,1.76783,0.0199084,-1.06776,-0.00348377,0.716518,-0.010973,-0.0490006,1.70174e+09
-0.0112772,-0.779614,1.7679,0.0199175,-1.06776,-0.00347447,0.716502,-0.0109743,-0.0489661,1.70174e+09
-0.0112476,-0.780153,1.76876,0.0199268,-1.06779,-0.00350189,0.716283,-0.0109524,-0.0489816,1.70174e+09
-0.0112627,-0.782771,1.77275,0.0199268,-1.06791,-0.00348377,0.715265,-0.0109519,-0.0489794,1.70174e+09
-0.0113068,-0.786495,1.77856,0.0199449,-1.06826,-0.00344729,0.713768,-0.0109701,-0.0490121,1.70174e+09
-0.0113583,-0.793162,1.79206,0.0199449,-1.07588,-0.00347447,0.710099,-0.0109799,-0.0491671,1.70174e+09
-0.0114911,-0.801363,1.80685,0.019954,-1.08215,-0.00344729,0.706119,-0.0110418,-0.0491076,1.70174e+09
-0.0118451,-0.817138,1.83354,0.0199449,-1.09008,-0.00341988,0.698953,-0.0112201,-0.0489916,1.70174e+09
-0.0121915,-0.830398,1.85769,0.019954,-1.09992,-0.00344729,0.692309,-0.0114011,-0.049088,1.70174e+09
-0.0124128,-0.843017,1.87865,0.0199904,-1.10518,-0.003438,0.686577,-0.0114989,-0.0490539,1.70174e+09
-0.0124426,-0.85576,1.90051,0.0200729,-1.11185,-0.00344729,0.680506,-0.0114702,-0.0490964,1.70174e+09
-0.0126491,-0.86888,1.92413,0.0201459,-1.12184,-0.00342894,0.673821,-0.0115566,-0.0490482,1.70174e+09
-0.0129735,-0.88276,1.94823,0.0203011,-1.13012,-0.00341988,0.666973,-0.0117281,-0.0490527,1.70174e+09
-0.0130327,-0.892229,1.9642,0.0204289,-1.13433,-0.00339246,0.662423,-0.011738,-0.0491362,1.70174e+09
-0.0132096,-0.905261,1.9861,0.0205112,-1.14029,-0.00341082,0.656135,-0.011797,-0.0491987,1.70174e+09
-0.0132904,-0.913174,2.00167,0.0206754,-1.14918,-0.00341988,0.651521,-0.0118331,-0.0492279,1.70174e+09
-0.0134308,-0.922909,2.01876,0.0209677,-1.15553,-0.00341082,0.646508,-0.01192,-0.0492453,1.70174e+09
-0.0135415,-0.934569,2.03866,0.0212326,-1.1634,-0.00339246,0.64064,-0.0119726,-0.0489745,1.70174e+09
-0.0141683,-0.959112,2.08,0.0220542,-1.17412,-0.0033741,0.628368,-0.0123656,-0.0493543,1.70174e+09
-0.0141754,-0.964747,2.09105,0.0222368,-1.18084,-0.00339246,0.624982,-0.0123664,-0.049294,1.70174e+09
-0.0143008,-0.977092,2.11157,0.0224559,-1.18717,-0.0033834,0.618798,-0.0124066,-0.0492184,1.70174e+09
-0.0145073,-0.990588,2.13339,0.0227754,-1.19255,-0.00339246,0.6122,-0.0125055,-0.0491942,1.70174e+09
-0.0146477,-0.998517,2.14793,0.0229218,-1.19969,-0.0033834,0.607699,-0.0125641,-0.0491479,1.70174e+09
-0.0148983,-1.01034,2.16843,0.0230858,-1.20731,-0.00335598,0.601366,-0.0126646,-0.049176,1.70174e+09
-0.0151784,-1.02266,2.18811,0.0232229,-1.21093,-0.00335598,0.595314,-0.0127722,-0.0493615,1.70174e+09
-0.0154884,-1.03522,2.20916,0.0234237,-1.218,-0.00336504,0.588747,-0.0129033,-0.0493293,1.70174e+09
-0.015754,-1.04589,2.22787,0.0236886,-1.22536,-0.00333762,0.582842,-0.0130271,-0.049394,1.70174e+09
-0.0158203,-1.05791,2.24789,0.0263641,-1.23229,-0.00335598,0.576512,-0.0134676,-0.0493171,1.70174e+09
-0.016012,-1.07138,2.27017,0.0271401,-1.24037,-0.0033834,0.569435,-0.0136219,-0.0491248,1.70174e+09
-0.0162184,-1.08408,2.29248,0.0273683,-1.24934,-0.0033741,0.562264,-0.0136812,-0.0492304,1.70174e+09
-0.0162184,-1.09404,2.30766,0.0275054,-1.25092,-0.0033741,0.557447,-0.0136312,-0.0494583,1.70174e+09
-0.0164101,-1.10794,2.33135,0.0275693,-1.26125,-0.00336504,0.549766,-0.0136418,-0.0492304,1.70174e+09
-0.0167053,-1.12048,2.35218,0.0276423,-1.26783,-0.00334668,0.543,-0.0137158,-0.0493571,1.70174e+09
-0.0168378,-1.13028,2.36814,0.0277152,-1.27143,-0.00334668,0.537808,-0.01372,-0.0496493,1.70174e+09
