arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.000154018,-0.896182,1.80453,0.00109887,-0.89541,-0.00428724,0.71065,0.00043134,-0.0172461,1.70164e+09
0.000161171,-0.89619,1.80455,0.00111723,-0.895501,-0.00427818,0.710644,0.000433668,-0.017235,1.70164e+09
0.000138998,-0.896197,1.80451,0.00111723,-0.895446,-0.00427818,0.710655,0.00041792,-0.0172206,1.70164e+09
3.60012e-05,-0.896256,1.80455,0.00111723,-0.895492,-0.00428724,0.710645,0.000344692,-0.0171897,1.70164e+09
-0.000428915,-0.896691,1.80454,0.00110793,-0.895437,-0.00487161,0.710655,1.40104e-05,-0.0168876,1.70164e+09
-0.00202918,-0.900681,1.80466,-0.00363088,-0.894935,-0.0203302,0.710678,-0.000454049,-0.0142247,1.70164e+09
-0.00346708,-0.904376,1.80513,-0.00891757,-0.894223,-0.0308032,0.710588,-0.000710374,-0.0119832,1.70164e+09
-0.00574589,-0.911721,1.80561,-0.0193725,-0.893264,-0.0506811,0.710504,-0.000815592,-0.0072274,1.70164e+09
-0.00821662,-0.919406,1.80514,-0.0305576,-0.890579,-0.0741746,0.710636,-0.000969391,-0.00209425,1.70164e+09
-0.0107315,-0.929495,1.80531,-0.0417428,-0.889036,-0.102499,0.710537,-0.00116973,0.00462795,1.70164e+09
-0.0130029,-0.944643,1.80491,-0.0639946,-0.88196,-0.142628,0.710405,0.000372245,0.0140772,1.70164e+09
-0.0141461,-0.954614,1.80418,-0.077481,-0.878618,-0.172349,0.710347,0.00144365,0.020778,1.70164e+09
-0.0143597,-0.962918,1.80359,-0.091013,-0.873158,-0.195478,0.710227,0.00316449,0.0258022,1.70164e+09
-0.014596,-0.97342,1.80241,-0.104682,-0.86736,-0.222852,0.710125,0.00485014,0.0326029,1.70164e+09
-0.0144339,-0.977033,1.80185,-0.11121,-0.86652,-0.234914,0.710083,0.0058728,0.0352259,1.70164e+09
-0.0135708,-0.985876,1.80039,-0.127829,-0.859389,-0.262882,0.709966,0.00871205,0.0406823,1.70164e+09
-0.0119853,-0.9955,1.79826,-0.142785,-0.852933,-0.291032,0.709904,0.0118002,0.0471804,1.70164e+09
-0.0114839,-0.999313,1.79736,-0.146876,-0.849783,-0.301067,0.709897,0.012654,0.0496888,1.70164e+09
-0.00940394,-1.0067,1.79602,-0.162827,-0.844085,-0.325802,0.709623,0.0162217,0.0542915,1.70164e+09
-0.00598216,-1.01486,1.79242,-0.180212,-0.834525,-0.355615,0.709737,0.020803,0.0598512,1.70164e+09
-0.00309849,-1.02201,1.78786,-0.193872,-0.82702,-0.378003,0.710093,0.0245075,0.0656562,1.70164e+09
-0.000104189,-1.02738,1.78606,-0.208426,-0.818154,-0.402373,0.709881,0.0283394,0.0684487,1.70164e+09
0.00404048,-1.03406,1.78325,-0.222013,-0.809589,-0.425338,0.709724,0.0328269,0.0727636,1.70164e+09
0.00881219,-1.03993,1.77792,-0.237682,-0.799965,-0.452593,0.710047,0.0379591,0.0776208,1.70164e+09
0.0126395,-1.04337,1.77433,-0.250008,-0.791857,-0.471649,0.710207,0.0420037,0.0801608,1.70164e+09
0.0184436,-1.04907,1.77068,-0.266763,-0.781804,-0.499124,0.709973,0.0479026,0.0838629,1.70164e+09
0.0242991,-1.05379,1.76536,-0.283701,-0.768107,-0.525485,0.710123,0.0536714,0.0870621,1.70164e+09
0.0310695,-1.05788,1.7598,-0.299561,-0.755598,-0.5519,0.710256,0.0599313,0.090202,1.70164e+09
0.036232,-1.06119,1.75655,-0.31376,-0.745107,-0.573887,0.71003,0.0648658,0.091941,1.70164e+09
0.0428324,-1.06412,1.75179,-0.329273,-0.733328,-0.597865,0.709971,0.0708758,0.0939576,1.70164e+09
0.0527222,-1.06726,1.74394,-0.351516,-0.712501,-0.631612,0.710086,0.0795017,0.0959108,1.70164e+09
0.0549865,-1.06758,1.74211,-0.356118,-0.710364,-0.639319,0.710119,0.0815363,0.0966076,1.70164e+09
0.0597579,-1.06928,1.73862,-0.367029,-0.701051,-0.655353,0.710019,0.0856859,0.0976565,1.70164e+09
0.071897,-1.07049,1.73018,-0.39234,-0.674169,-0.696104,0.709958,0.0956404,0.0973504,1.70164e+09
0.0847664,-1.07102,1.71956,-0.418015,-0.649224,-0.732974,0.7101,0.106082,0.0981308,1.70164e+09
0.0915511,-1.07106,1.71501,-0.431867,-0.635482,-0.75675,0.709916,0.111466,0.0976966,1.70164e+09
0.101861,-1.07098,1.70893,-0.450156,-0.613732,-0.786252,0.709497,0.119184,0.0964137,1.70164e+09
0.110055,-1.07055,1.70433,-0.467066,-0.59726,-0.810485,0.708978,0.125489,0.0950817,1.70164e+09
0.116803,-1.06961,1.70024,-0.479174,-0.580825,-0.831432,0.708712,0.130233,0.0932984,1.70164e+09
0.130373,-1.06602,1.69025,-0.503809,-0.550949,-0.871096,0.70852,0.139894,0.0900824,1.70164e+09
0.139193,-1.0628,1.68397,-0.521541,-0.532094,-0.895484,0.70827,0.146222,0.0873036,1.70164e+09
0.146959,-1.05864,1.6773,-0.537694,-0.511659,-0.92043,0.708341,0.151445,0.0838933,1.70164e+09
0.155138,-1.05387,1.67012,-0.552303,-0.493306,-0.945275,0.708496,0.156942,0.0807604,1.70164e+09
0.163162,-1.04867,1.66279,-0.56778,-0.473309,-0.969189,0.708653,0.162154,0.0771232,1.70164e+09
0.171982,-1.04278,1.65615,-0.583914,-0.450345,-0.996517,0.708501,0.167551,0.0721356,1.70164e+09
0.17679,-1.03996,1.65243,-0.595072,-0.437124,-1.01189,0.708292,0.170509,0.06957,1.70164e+09
0.184917,-1.03378,1.64537,-0.612421,-0.414753,-1.03837,0.708216,0.175343,0.0647522,1.70164e+09
0.19452,-1.02442,1.63602,-0.633467,-0.387388,-1.07011,0.708377,0.180866,0.0580175,1.70164e+09
0.19859,-1.01988,1.63108,-0.641146,-0.374331,-1.08505,0.708708,0.182968,0.0551302,1.70164e+09
0.206098,-1.01228,1.62357,-0.660211,-0.351705,-1.1111,0.708712,0.18707,0.0496059,1.70164e+09
0.217987,-0.998384,1.61018,-0.689713,-0.311072,-1.1576,0.709045,0.192728,0.0397883,1.70164e+09
0.21938,-0.996039,1.60826,-0.695748,-0.304827,-1.16463,0.709099,0.193307,0.0380279,1.70164e+09
0.221121,-0.992779,1.60567,-0.700359,-0.297449,-1.17284,0.709309,0.193965,0.0358458,1.70164e+09
0.226298,-0.984784,1.59879,-0.716384,-0.27906,-1.19355,0.709618,0.196331,0.0306509,1.70164e+09
0.230347,-0.978611,1.59387,-0.728327,-0.262442,-1.21153,0.70972,0.197771,0.0261363,1.70164e+09
0.233946,-0.972815,1.59106,-0.74248,-0.245951,-1.22966,0.7093,0.19878,0.0207637,1.70164e+09
0.238998,-0.962033,1.58476,-0.762522,-0.222038,-1.25795,0.709302,0.200107,0.0125555,1.70164e+09
