arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
-0.00396,-1.91098,2.50972,0.07546,-0.54227,-0.06365,0.45540,-0.00891,0.13466,1701830578.30449
-0.00398,-1.91098,2.50970,0.07548,-0.54227,-0.06364,0.45540,-0.00892,0.13467,1701830578.44249
-0.00398,-1.91098,2.50969,0.07547,-0.54224,-0.06364,0.45540,-0.00892,0.13467,1701830578.50249
-0.00395,-1.91128,2.50992,0.07547,-0.54229,-0.06363,0.45532,-0.00891,0.13469,1701830578.64949
-0.00399,-1.91274,2.51126,0.07544,-0.54227,-0.06366,0.45487,-0.00892,0.13459,1701830578.74549
-0.00397,-1.91520,2.51387,0.07545,-0.54224,-0.06366,0.45406,-0.00890,0.13422,1701830578.84449
-0.00397,-1.91757,2.51614,0.07546,-0.54226,-0.06365,0.45333,-0.00890,0.13401,1701830578.94649
-0.00395,-1.91954,2.51824,0.07545,-0.54227,-0.06366,0.45267,-0.00889,0.13371,1701830579.14449
-0.00393,-1.91949,2.51852,0.07545,-0.54225,-0.06366,0.45263,-0.00888,0.13352,1701830579.24649
-0.00394,-1.91821,2.51838,0.07545,-0.54225,-0.06367,0.45283,-0.00889,0.13302,1701830579.34549
-0.00392,-1.91446,2.51691,0.07544,-0.54221,-0.06367,0.45360,-0.00888,0.13215,1701830579.44449
-0.00394,-1.89431,2.50430,0.07545,-0.54222,-0.06369,0.45862,-0.00891,0.13011,1701830579.54349
-0.00388,-1.83206,2.45388,0.07547,-0.54227,-0.06368,0.47650,-0.00895,0.12949,1701830579.64549
-0.00378,-1.75346,2.38481,0.07548,-0.54835,-0.06367,0.50066,-0.00908,0.13114,1701830579.74449
-0.00367,-1.68187,2.32077,0.07548,-0.54842,-0.06365,0.52310,-0.00911,0.13044,1701830579.84649
-0.00359,-1.63261,2.27569,0.07545,-0.54859,-0.06370,0.53885,-0.00912,0.12956,1701830579.94549
-0.00363,-1.59385,2.23739,0.07546,-0.55344,-0.06369,0.55196,-0.00925,0.13079,1701830580.04449
-0.00351,-1.54676,2.18934,0.07548,-0.55360,-0.06365,0.56810,-0.00924,0.13133,1701830580.14649
-0.00354,-1.49800,2.14087,0.07548,-0.55350,-0.06367,0.58452,-0.00932,0.13034,1701830580.24549
-0.00350,-1.44876,2.09112,0.07548,-0.55375,-0.06366,0.60122,-0.00936,0.12904,1701830580.34449
-0.00351,-1.40672,2.04906,0.07545,-0.55403,-0.06367,0.61531,-0.00941,0.12706,1701830580.44649
-0.00347,-1.36374,2.00295,0.07547,-0.55423,-0.06363,0.63025,-0.00945,0.12616,1701830580.54549
-0.00347,-1.31109,1.94131,0.07547,-0.55417,-0.06367,0.64941,-0.00951,0.12705,1701830580.64449
-0.00345,-1.24853,1.86320,0.07549,-0.55398,-0.06367,0.67272,-0.00957,0.12970,1701830580.74349
-0.00345,-1.19136,1.79319,0.07547,-0.55283,-0.06365,0.69328,-0.00963,0.13008,1701830580.84549
-0.00346,-1.15979,1.75724,0.07549,-0.55141,-0.06364,0.70393,-0.00966,0.12816,1701830580.94749
-0.00342,-1.15830,1.75578,0.07548,-0.55093,-0.06366,0.70438,-0.00962,0.12785,1701830581.04350
-0.00351,-1.16004,1.75646,0.07548,-0.55093,-0.06363,0.70403,-0.00969,0.12869,1701830581.14550
-0.00342,-1.16157,1.75798,0.07548,-0.55091,-0.06363,0.70356,-0.00962,0.12890,1701830581.24450
-0.00353,-1.16183,1.75816,0.07549,-0.55090,-0.06365,0.70349,-0.00970,0.12898,1701830581.34350
-0.00347,-1.16189,1.75825,0.07546,-0.55092,-0.06366,0.70347,-0.00965,0.12897,1701830581.44550
-0.00347,-1.16190,1.75828,0.07548,-0.55091,-0.06364,0.70346,-0.00966,0.12896,1701830581.54450
-0.00348,-1.16207,1.75824,0.07547,-0.55091,-0.06362,0.70345,-0.00966,0.12910,1701830581.64350
