arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
-1.50342,-0.52196,1.69632,0.24372,-1.18089,-0.06753,0.00446,-0.70594,-0.18123,1701835678.25240
-1.50343,-0.52196,1.69633,0.24372,-1.18089,-0.06758,0.00445,-0.70594,-0.18123,1701835678.35740
-1.50366,-0.52195,1.69632,0.24372,-1.18088,-0.06755,0.00429,-0.70594,-0.18123,1701835678.45340
-1.50576,-0.52191,1.69619,0.24268,-1.18087,-0.06754,0.00299,-0.70602,-0.18119,1701835678.60340
-1.50835,-0.52202,1.69612,0.24033,-1.18084,-0.06747,0.00158,-0.70613,-0.18106,1701835678.69940
-1.51136,-0.52205,1.69623,0.23796,-1.18085,-0.06744,-0.00012,-0.70617,-0.18104,1701835678.80140
-1.51428,-0.52213,1.69637,0.23591,-1.18088,-0.06745,-0.00183,-0.70619,-0.18100,1701835678.90040
-1.51571,-0.52214,1.69640,0.23500,-1.18089,-0.06748,-0.00268,-0.70620,-0.18099,1701835679.00241
-1.51596,-0.52211,1.69651,0.23438,-1.18088,-0.06748,-0.00275,-0.70618,-0.18105,1701835679.10141
-1.51420,-0.52211,1.69667,0.23466,-1.18090,-0.06784,-0.00156,-0.70612,-0.18111,1701835679.20341
-1.50973,-0.52209,1.69675,0.23773,-1.18107,-0.06884,0.00105,-0.70600,-0.18118,1701835679.29941
-1.50000,-0.52193,1.69670,0.24419,-1.18193,-0.07057,0.00675,-0.70577,-0.18121,1701835679.39841
-1.45124,-0.52095,1.69665,0.27715,-1.18552,-0.07672,0.03518,-0.70375,-0.18176,1701835679.48840
-1.33423,-0.51882,1.69691,0.29836,-1.18888,-0.07829,0.11310,-0.69427,-0.18313,1701835679.59941
-1.20103,-0.51963,1.69974,0.29315,-1.18991,-0.07316,0.20492,-0.67223,-0.18341,1701835679.69841
-1.07564,-0.51830,1.69056,0.21436,-1.18146,-0.05828,0.30262,-0.64018,-0.18086,1701835679.80041
-0.96999,-0.51154,1.67178,0.13597,-1.17140,-0.04430,0.38425,-0.60296,-0.17885,1701835679.89941
-0.88320,-0.51151,1.67044,0.09260,-1.17002,-0.03784,0.44184,-0.56342,-0.17824,1701835679.99841
-0.78954,-0.51798,1.68420,0.08496,-1.17189,-0.03595,0.49111,-0.51620,-0.17897,1701835680.10041
-0.69911,-0.52146,1.69403,0.09781,-1.17466,-0.03611,0.53196,-0.46960,-0.18014,1701835680.19941
-0.61138,-0.52222,1.69976,0.10868,-1.17663,-0.03655,0.56826,-0.42162,-0.18166,1701835680.30141
-0.52633,-0.52361,1.70349,0.10827,-1.17796,-0.03662,0.60115,-0.37125,-0.18196,1701835680.40041
-0.44480,-0.52334,1.70392,0.10808,-1.17750,-0.03621,0.62923,-0.32093,-0.18242,1701835680.48741
-0.32315,-0.52287,1.70518,0.09308,-1.17524,-0.02449,0.66411,-0.23953,-0.18360,1701835680.60141
-0.20803,-0.52156,1.70081,0.06980,-1.17412,-0.01573,0.68965,-0.15789,-0.18281,1701835680.70041
-0.10565,-0.52016,1.69562,0.02588,-1.17457,-0.00851,0.70488,-0.07893,-0.18143,1701835680.79941
-0.03487,-0.51992,1.69594,-0.02955,-1.17532,0.00128,0.70883,-0.01892,-0.18160,1701835680.90141
0.00363,-0.52056,1.70185,-0.06051,-1.17839,0.00473,0.70682,0.01394,-0.18309,1701835681.00042
0.01906,-0.52173,1.70684,-0.06725,-1.17858,0.00541,0.70488,0.02602,-0.18432,1701835681.09942
0.01571,-0.52194,1.70562,-0.05265,-1.17822,0.00101,0.70563,0.02103,-0.18368,1701835681.20142
0.00569,-0.52143,1.70246,-0.02263,-1.17703,-0.00407,0.70706,0.00857,-0.18289,1701835681.30042
-0.00240,-0.52151,1.70003,0.00420,-1.17637,-0.00936,0.70802,-0.00198,-0.18194,1701835681.39942
-0.00547,-0.52143,1.70002,0.01577,-1.17512,-0.01103,0.70797,-0.00623,-0.18224,1701835681.50142
-0.00457,-0.52146,1.70057,0.01707,-1.17472,-0.01108,0.70778,-0.00583,-0.18252,1701835681.60041
-0.00213,-0.52418,1.70591,0.01333,-1.17505,-0.01084,0.70643,-0.00343,-0.18274,1701835681.70241
-0.00058,-0.52603,1.71021,0.00946,-1.17562,-0.01017,0.70526,-0.00163,-0.18310,1701835681.79842
0.00025,-0.52637,1.71131,0.00802,-1.17604,-0.00940,0.70494,-0.00079,-0.18323,1701835681.90341
0.00010,-0.52618,1.71117,0.00802,-1.17596,-0.00902,0.70495,-0.00089,-0.18331,1701835681.99942
0.00009,-0.52614,1.71107,0.00794,-1.17599,-0.00887,0.70498,-0.00088,-0.18330,1701835682.09842
0.00008,-0.52614,1.71101,0.00791,-1.17600,-0.00881,0.70500,-0.00089,-0.18327,1701835682.20042
0.00019,-0.52610,1.71096,0.00790,-1.17593,-0.00851,0.70501,-0.00081,-0.18329,1701835682.29942
0.00024,-0.52607,1.71081,0.00775,-1.17597,-0.00830,0.70506,-0.00074,-0.18325,1701835682.40142
0.00016,-0.52607,1.71088,0.00767,-1.17596,-0.00821,0.70504,-0.00079,-0.18327,1701835682.50042
0.00019,-0.52606,1.71078,0.00765,-1.17597,-0.00818,0.70507,-0.00076,-0.18324,1701835682.59942
0.00018,-0.52604,1.71080,0.00763,-1.17597,-0.00818,0.70506,-0.00076,-0.18326,1701835682.70142
0.00017,-0.52604,1.71081,0.00762,-1.17598,-0.00812,0.70506,-0.00077,-0.18326,1701835682.80042
0.00021,-0.52604,1.71077,0.00762,-1.17599,-0.00810,0.70507,-0.00074,-0.18324,1701835682.89942
0.00018,-0.52604,1.71080,0.00763,-1.17599,-0.00805,0.70506,-0.00077,-0.18325,1701835683.00142
0.00020,-0.52605,1.71080,0.00760,-1.17595,-0.00802,0.70506,-0.00075,-0.18325,1701835683.10042
0.00018,-0.52607,1.71083,0.00760,-1.17598,-0.00803,0.70506,-0.00076,-0.18325,1701835683.19942
0.00018,-0.52607,1.71086,0.00759,-1.17597,-0.00798,0.70504,-0.00076,-0.18327,1701835683.30142
0.00019,-0.52608,1.71088,0.00758,-1.17601,-0.00791,0.70504,-0.00075,-0.18326,1701835683.40042
0.00018,-0.52609,1.71090,0.00758,-1.17601,-0.00790,0.70503,-0.00076,-0.18325,1701835683.49642
0.00020,-0.52610,1.71092,0.00755,-1.17600,-0.00788,0.70503,-0.00074,-0.18326,1701835683.60142
0.00020,-0.52621,1.71111,0.00754,-1.17602,-0.00786,0.70498,-0.00073,-0.18326,1701835683.70342
0.00018,-0.52626,1.71117,0.00755,-1.17605,-0.00784,0.70497,-0.00075,-0.18324,1701835683.79942
0.00020,-0.52621,1.71112,0.00747,-1.17606,-0.00780,0.70498,-0.00072,-0.18325,1701835683.90142
0.00018,-0.52626,1.71113,0.00745,-1.17605,-0.00779,0.70498,-0.00074,-0.18323,1701835684.00043
0.00018,-0.52623,1.71113,0.00740,-1.17606,-0.00780,0.70498,-0.00072,-0.18325,1701835684.09943
0.00018,-0.52623,1.71115,0.00734,-1.17607,-0.00777,0.70497,-0.00071,-0.18325,1701835684.19843
0.00021,-0.52622,1.71113,0.00735,-1.17605,-0.00777,0.70498,-0.00069,-0.18325,1701835684.30043
0.00018,-0.52622,1.71113,0.00733,-1.17604,-0.00776,0.70498,-0.00071,-0.18326,1701835684.39943
0.00016,-0.52622,1.71115,0.00732,-1.17606,-0.00776,0.70497,-0.00072,-0.18326,1701835684.48943
0.00020,-0.52621,1.71112,0.00733,-1.17604,-0.00773,0.70498,-0.00070,-0.18326,1701835684.60043
0.00021,-0.52624,1.71112,0.00730,-1.17605,-0.00772,0.70499,-0.00069,-0.18323,1701835684.80143
0.00019,-0.52623,1.71114,0.00729,-1.17605,-0.00769,0.70498,-0.00070,-0.18325,1701835684.90043
0.00018,-0.52622,1.71116,0.00724,-1.17606,-0.00771,0.70497,-0.00069,-0.18326,1701835684.99943
0.00019,-0.52623,1.71112,0.00721,-1.17604,-0.00771,0.70498,-0.00068,-0.18324,1701835685.10143
0.00019,-0.52623,1.71113,0.00722,-1.17602,-0.00769,0.70498,-0.00068,-0.18325,1701835685.20043
0.00018,-0.52624,1.71112,0.00720,-1.17604,-0.00769,0.70498,-0.00068,-0.18324,1701835685.30243
0.00018,-0.52623,1.71115,0.00720,-1.17605,-0.00767,0.70497,-0.00069,-0.18325,1701835685.40143
0.00019,-0.52623,1.71115,0.00717,-1.17605,-0.00768,0.70497,-0.00067,-0.18326,1701835685.49743
0.00018,-0.52622,1.71112,0.00716,-1.17603,-0.00767,0.70498,-0.00068,-0.18325,1701835685.59943
0.00018,-0.52624,1.71112,0.00713,-1.17605,-0.00765,0.70498,-0.00068,-0.18324,1701835685.70143
0.00018,-0.52622,1.71112,0.00706,-1.17603,-0.00767,0.70498,-0.00066,-0.18325,1701835685.80043
0.00017,-0.52623,1.71113,0.00699,-1.17603,-0.00762,0.70498,-0.00066,-0.18325,1701835685.89943
0.00018,-0.52623,1.71113,0.00694,-1.17605,-0.00759,0.70498,-0.00064,-0.18325,1701835686.00143
0.00017,-0.52621,1.71115,0.00690,-1.17605,-0.00755,0.70497,-0.00064,-0.18326,1701835686.10043
0.00018,-0.52623,1.71111,0.00683,-1.17604,-0.00756,0.70499,-0.00062,-0.18324,1701835686.19943
0.00016,-0.52622,1.71114,0.00683,-1.17605,-0.00754,0.70497,-0.00063,-0.18326,1701835686.30143
0.00018,-0.52622,1.71112,0.00681,-1.17605,-0.00755,0.70498,-0.00061,-0.18325,1701835686.40043
0.00018,-0.52621,1.71112,0.00681,-1.17601,-0.00751,0.70498,-0.00062,-0.18327,1701835686.49943
0.00017,-0.52623,1.71112,0.00680,-1.17604,-0.00751,0.70498,-0.00062,-0.18325,1701835686.59843
0.00015,-0.52623,1.71112,0.00679,-1.17605,-0.00750,0.70498,-0.00064,-0.18325,1701835686.70043
0.00016,-0.52622,1.71113,0.00677,-1.17608,-0.00751,0.70498,-0.00062,-0.18325,1701835686.79943
0.00016,-0.52623,1.71112,0.00678,-1.17604,-0.00752,0.70498,-0.00062,-0.18324,1701835686.89843
0.00018,-0.52622,1.71113,0.00675,-1.17604,-0.00748,0.70498,-0.00061,-0.18326,1701835687.00044
0.00016,-0.52623,1.71112,0.00674,-1.17604,-0.00750,0.70498,-0.00062,-0.18324,1701835687.09944
0.00016,-0.52624,1.71115,0.00671,-1.17603,-0.00749,0.70497,-0.00061,-0.18325,1701835687.20144
0.00016,-0.52621,1.71112,0.00670,-1.17607,-0.00749,0.70498,-0.00061,-0.18325,1701835687.30044
0.00017,-0.52621,1.71112,0.00669,-1.17604,-0.00745,0.70498,-0.00060,-0.18326,1701835687.39944
0.00015,-0.52621,1.71112,0.00665,-1.17604,-0.00744,0.70498,-0.00061,-0.18326,1701835687.48944
0.00016,-0.52621,1.71112,0.00661,-1.17603,-0.00738,0.70498,-0.00059,-0.18326,1701835687.60044
0.00016,-0.52622,1.71112,0.00659,-1.17603,-0.00740,0.70498,-0.00059,-0.18325,1701835687.69943
0.00017,-0.52621,1.71114,0.00656,-1.17605,-0.00739,0.70497,-0.00058,-0.18326,1701835687.80143
0.00015,-0.52621,1.71112,0.00656,-1.17605,-0.00738,0.70498,-0.00059,-0.18325,1701835687.90043
0.00014,-0.52622,1.71113,0.00655,-1.17605,-0.00733,0.70498,-0.00060,-0.18325,1701835688.00244
