arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.00794,-1.18221,2.46392,0.02026,-1.32323,-0.00052,0.50594,0.00069,-0.04932,1702001126.86743
0.00794,-1.18221,2.46392,0.02023,-1.32321,-0.00052,0.50594,0.00070,-0.04932,1702001126.96943
0.00789,-1.18220,2.46392,0.02025,-1.32322,-0.00050,0.50594,0.00067,-0.04933,1702001127.08944
0.00792,-1.18221,2.46393,0.02026,-1.32323,-0.00053,0.50593,0.00068,-0.04933,1702001127.26644
0.00795,-1.18251,2.46419,0.02025,-1.32321,-0.00055,0.50586,0.00070,-0.04927,1702001127.44344
0.00793,-1.18311,2.46500,0.02026,-1.32322,-0.00053,0.50559,0.00068,-0.04928,1702001127.54244
0.00789,-1.18398,2.46626,0.02026,-1.32334,-0.00053,0.50518,0.00066,-0.04929,1702001127.64144
0.00788,-1.18426,2.46675,0.02024,-1.32345,-0.00053,0.50501,0.00066,-0.04931,1702001127.74344
0.00789,-1.18427,2.46683,0.02024,-1.32354,-0.00056,0.50498,0.00066,-0.04932,1702001127.84244
0.00792,-1.18421,2.46680,0.02023,-1.32359,-0.00056,0.50499,0.00068,-0.04933,1702001127.94144
0.00786,-1.18386,2.46652,0.02026,-1.32363,-0.00058,0.50507,0.00064,-0.04939,1702001128.04044
0.00775,-1.17990,2.46209,0.02021,-1.32362,-0.00059,0.50649,0.00061,-0.04972,1702001128.14245
0.00740,-1.15955,2.43004,0.02019,-1.31247,-0.00053,0.51711,0.00053,-0.05016,1702001128.24145
0.00723,-1.11691,2.35713,0.02021,-1.28517,-0.00057,0.54117,0.00063,-0.04984,1702001128.34044
0.00712,-1.06508,2.26924,0.02024,-1.25552,-0.00064,0.56953,0.00081,-0.04936,1702001128.44245
0.00704,-1.02641,2.20344,0.02026,-1.23394,-0.00063,0.59029,0.00094,-0.04903,1702001128.54144
0.00665,-1.00195,2.16197,0.02024,-1.21957,-0.00065,0.60316,0.00082,-0.04911,1702001128.64345
0.00661,-0.98713,2.13741,0.02020,-1.21064,-0.00069,0.61069,0.00086,-0.04948,1702001128.74244
0.00623,-0.96464,2.09949,0.02015,-1.19414,-0.00070,0.62222,0.00073,-0.05040,1702001128.84144
0.00620,-0.92671,2.03385,0.02016,-1.17080,-0.00074,0.64184,0.00087,-0.05045,1702001128.94044
0.00613,-0.87344,1.94068,0.02014,-1.13802,-0.00078,0.66887,0.00105,-0.05033,1702001129.04245
0.00608,-0.82578,1.85675,0.02006,-1.11124,-0.00082,0.69232,0.00122,-0.04964,1702001129.14145
0.00610,-0.79765,1.80736,0.01996,-1.09568,-0.00084,0.70570,0.00136,-0.04933,1702001129.24345
0.00603,-0.79453,1.80163,0.01985,-1.09371,-0.00082,0.70724,0.00134,-0.04923,1702001129.34245
0.00591,-0.79617,1.80393,0.01980,-1.09362,-0.00082,0.70665,0.00126,-0.04916,1702001129.43845
0.00591,-0.79743,1.80589,0.01979,-1.09366,-0.00082,0.70614,0.00126,-0.04919,1702001129.54345
0.00587,-0.79747,1.80590,0.01976,-1.09363,-0.00082,0.70614,0.00124,-0.04917,1702001129.64245
0.00587,-0.79749,1.80606,0.01978,-1.09362,-0.00080,0.70609,0.00123,-0.04923,1702001129.75045
0.00585,-0.79749,1.80613,0.01975,-1.09362,-0.00084,0.70607,0.00123,-0.04927,1702001129.84045
0.00583,-0.79748,1.80613,0.01977,-1.09362,-0.00082,0.70608,0.00120,-0.04927,1702001129.94545
0.00583,-0.79751,1.80613,0.01976,-1.09365,-0.00082,0.70607,0.00121,-0.04925,1702001130.04145
