arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.05304,-1.36325,2.08922,0.13379,-0.66811,0.71278,0.61306,0.01873,0.10130,1702003193.21323
0.05302,-1.36324,2.08923,0.13379,-0.66812,0.71278,0.61306,0.01872,0.10129,1702003193.31523
0.05302,-1.36324,2.08923,0.13379,-0.66811,0.71282,0.61306,0.01872,0.10128,1702003193.42323
0.05303,-1.36324,2.08923,0.13380,-0.66815,0.71277,0.61306,0.01872,0.10130,1702003193.51423
0.05330,-1.36331,2.08927,0.13379,-0.66809,0.71278,0.61304,0.01888,0.10131,1702003193.69723
0.05377,-1.36352,2.08931,0.13376,-0.66788,0.71281,0.61300,0.01918,0.10138,1702003193.86523
0.05485,-1.36403,2.08948,0.13376,-0.66723,0.71278,0.61288,0.01985,0.10147,1702003194.24924
0.05483,-1.36398,2.08965,0.13354,-0.66728,0.71092,0.61285,0.01986,0.10135,1702003194.42924
0.04574,-1.35612,2.09404,0.11960,-0.68719,0.69102,0.61306,0.01556,0.09810,1702003194.60924
0.01488,-1.32594,2.10559,0.07630,-0.74058,0.61594,0.61399,0.00121,0.08391,1702003194.80424
-0.00795,-1.30666,2.11007,0.04631,-0.76996,0.57240,0.61469,-0.00918,0.07545,1702003194.96924
-0.03426,-1.28989,2.11406,0.01099,-0.79516,0.52946,0.61482,-0.02073,0.06791,1702003195.16424
-0.06961,-1.26888,2.11657,-0.03466,-0.82692,0.47004,0.61492,-0.03620,0.05965,1702003195.36224
-0.10635,-1.25123,2.11538,-0.08080,-0.85092,0.41348,0.61497,-0.05224,0.05364,1702003195.56324
-0.13717,-1.23851,2.11270,-0.11943,-0.86636,0.36998,0.61480,-0.06564,0.04968,1702003195.74324
-0.17841,-1.22481,2.10592,-0.17009,-0.87910,0.31084,0.61452,-0.08384,0.04628,1702003195.95324
-0.21746,-1.21605,2.09776,-0.21817,-0.88621,0.25685,0.61378,-0.10121,0.04533,1702003196.14224
-0.24829,-1.20914,2.08912,-0.25629,-0.89159,0.21478,0.61329,-0.11505,0.04549,1702003196.34324
-0.27785,-1.20498,2.07977,-0.29313,-0.89159,0.17241,0.61254,-0.12855,0.04657,1702003196.50224
-0.32267,-1.20310,2.06073,-0.35309,-0.88242,0.10115,0.61158,-0.14932,0.05131,1702003196.69724
-0.34330,-1.20309,2.05096,-0.38287,-0.88030,0.06893,0.61100,-0.15867,0.05476,1702003196.89924
-0.36454,-1.20440,2.03832,-0.41095,-0.86777,0.03460,0.61062,-0.16947,0.05855,1702003197.04625
-0.38072,-1.20604,2.02734,-0.43642,-0.85897,0.00348,0.61043,-0.17732,0.06248,1702003197.14525
-0.39739,-1.20942,2.01494,-0.46238,-0.84947,-0.02841,0.61017,-0.18564,0.06808,1702003197.25025
-0.40816,-1.21214,2.00555,-0.48095,-0.84022,-0.05190,0.61014,-0.19115,0.07208,1702003197.34325
-0.41710,-1.21558,1.99735,-0.49744,-0.83066,-0.07326,0.61001,-0.19576,0.07598,1702003197.44525
-0.42555,-1.22010,1.98957,-0.51352,-0.82087,-0.09307,0.60973,-0.20011,0.08033,1702003197.54425
