arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
0.24302,-1.36630,2.07075,0.39634,-0.70667,-1.07258,0.60509,0.09779,0.11289,1702009378.43140
0.24302,-1.36627,2.07075,0.39635,-0.70668,-1.07258,0.60509,0.09779,0.11287,1702009378.52140
0.24302,-1.36627,2.07076,0.39634,-0.70668,-1.07259,0.60509,0.09779,0.11287,1702009378.62640
0.24300,-1.36628,2.07078,0.39635,-0.70667,-1.07258,0.60509,0.09778,0.11286,1702009378.72340
0.24300,-1.36638,2.07078,0.39620,-0.70651,-1.07272,0.60508,0.09780,0.11290,1702009378.87940
0.24300,-1.36658,2.07079,0.39542,-0.70603,-1.07341,0.60505,0.09791,0.11295,1702009378.97840
0.24304,-1.36695,2.07086,0.39425,-0.70545,-1.07591,0.60499,0.09809,0.11309,1702009379.07741
0.24311,-1.36725,2.07102,0.39263,-0.70463,-1.07909,0.60492,0.09835,0.11310,1702009379.17941
0.24346,-1.36771,2.07103,0.39177,-0.70310,-1.08055,0.60482,0.09873,0.11313,1702009379.27841
0.24398,-1.36793,2.07115,0.38954,-0.70261,-1.08233,0.60472,0.09932,0.11319,1702009379.38041
0.24491,-1.36802,2.07115,0.38524,-0.70247,-1.08384,0.60463,0.10040,0.11338,1702009379.47641
0.24639,-1.36782,2.07060,0.38080,-0.70249,-1.08663,0.60463,0.10185,0.11372,1702009379.57841
0.24839,-1.36667,2.07107,0.37607,-0.70559,-1.08722,0.60449,0.10345,0.11353,1702009379.67741
0.25637,-1.35383,2.07220,0.37381,-0.72761,-1.06182,0.60497,0.10773,0.10924,1702009379.77641
0.27075,-1.32557,2.07289,0.37545,-0.76335,-1.00483,0.60630,0.11520,0.09810,1702009379.87841
0.28604,-1.29657,2.07178,0.37846,-0.80139,-0.95351,0.60753,0.12306,0.08780,1702009379.98041
0.30000,-1.27241,2.06826,0.38899,-0.82995,-0.91447,0.60866,0.12959,0.07963,1702009380.08241
0.31233,-1.25540,2.06546,0.39600,-0.85110,-0.88907,0.60901,0.13570,0.07420,1702009380.17541
0.32574,-1.23880,2.06108,0.40771,-0.86835,-0.86562,0.60938,0.14210,0.06888,1702009380.27741
0.34151,-1.21889,2.05501,0.41996,-0.88965,-0.83551,0.60984,0.14985,0.06303,1702009380.37641
0.36048,-1.19484,2.04556,0.43532,-0.91348,-0.79818,0.61059,0.15934,0.05654,1702009380.47841
0.37878,-1.17214,2.03512,0.45209,-0.93665,-0.76117,0.61131,0.16829,0.05107,1702009380.57741
0.39729,-1.15175,2.02404,0.47092,-0.95544,-0.72845,0.61176,0.17730,0.04633,1702009380.67641
0.41646,-1.13258,2.01179,0.49048,-0.97073,-0.69865,0.61204,0.18688,0.04212,1702009380.77841
0.43389,-1.11585,2.00000,0.50907,-0.98279,-0.67326,0.61220,0.19563,0.03857,1702009380.87741
0.45516,-1.09620,1.98492,0.53058,-0.99509,-0.64247,0.61223,0.20673,0.03452,1702009380.98541
0.47418,-1.07960,1.97081,0.55109,-1.00655,-0.61384,0.61210,0.21651,0.03172,1702009381.07842
0.49391,-1.06236,1.95364,0.57497,-1.01524,-0.58408,0.61229,0.22679,0.02917,1702009381.17742
0.51508,-1.04495,1.93436,0.60072,-1.02104,-0.55195,0.61236,0.23819,0.02672,1702009381.27942
0.53373,-1.03010,1.91700,0.62264,-1.02728,-0.52503,0.61219,0.24837,0.02518,1702009381.37842
0.54919,-1.01827,1.90191,0.64215,-1.03054,-0.50472,0.61201,0.25686,0.02404,1702009381.47742
0.56572,-1.00688,1.88537,0.66248,-1.03402,-0.48127,0.61166,0.26612,0.02379,1702009381.57642
0.58486,-0.99454,1.86394,0.68893,-1.03487,-0.45268,0.61148,0.27701,0.02427,1702009381.67542
0.60557,-0.98157,1.83880,0.71957,-1.03536,-0.42155,0.61134,0.28891,0.02562,1702009381.77742
